,study_sid,study_name,output_pk,subset_pk,subset_name,intervention_pk,group_pk,individual_pk,normed,tissue,tissue_label,method,method_label,label,time,time_unit,measurement_type,measurement_type_label,choice,choice_label,substance,substance_label,value,mean,median,min,max,sd,se,cv,unit
157,PKDB00083,Mitrakou1992,"[182104, 182092, 182093, 182094, 182095, 182096, 182097, 182098, 182099, 182100, 182101, 182102, 182103]",4202,glc_obese igt,[2658],1471,,TRUE,plasma,plasma,,,glc_obese igt,"[300.0, -60.0, -30.0, 0.0, 30.0, 60.0, 90.0, 120.0, 150.0, 180.0, 210.0, 240.0, 270.0]",min,concentration,concentration,,,glucose,D-glucose,,"[0.83391472529388, 1.09555781215608, 1.10243706443388, 1.10145665613492, 1.60033314936636, 1.91951928539172, 2.09439101327544, 1.92930625357272, 1.74089202803352, 1.49393795084712, 1.1883276413150399, 0.98426057214204, 0.85441934693196]",,,,"[0.2273330955486664, 0.07240706873064248, 0.08273840666806943, 0.13457097934016266, 0.2170462765022824, 0.39311753728179805, 0.3618160857315848, 0.20653810228458802, 0.28923313401598777, 0.2890567743833765, 0.2685263682329801, 0.24795187217443082, 0.18583176548447]","[0.085923833656608, 0.02736729957492018, 0.031272178273919995, 0.05086304928864018, 0.08203578151680017, 0.14858446280940002, 0.13675362616979983, 0.07806406498632018, 0.10931984907516, 0.10925319139956, 0.10149342725826002, 0.09371699869806001, 0.070237805309712]","[0.27260952307629766, 0.06609150875218889, 0.0750504580599864, 0.1221754651811544, 0.13562568305744355, 0.20479999355754, 0.1727547928911979, 0.10705304142466625, 0.16614076539985093, 0.1934864659000531, 0.22596997570116317, 0.25191690004895223, 0.2174948005938217]",gram / liter
158,PKDB00081,Knop2007,"[171733, 171734, 171715, 171716, 171717, 171718, 171719, 171720, 171721, 171722, 171723, 171724, 171725, 171726, 171727, 171728, 171729, 171730, 171731, 171732]",3942,gip_control_ogtt,[2596],1333,,TRUE,plasma,plasma,,,gip_control_ogtt,"[180.0, 240.0, -15.0, -10.0, 0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 60.0, 70.0, 90.0, 120.0, 150.0]",min,concentration,concentration,,,gip,gastric inhibitory polypeptide (GIP),,"[1.3112474000000004e-11, 1.1055792000000002e-11, 1.3984120000000003e-11, 1.3976435000000003e-11, 1.4553476000000004e-11, nan, nan, 7.857046000000001e-11, nan, nan, 9.076581600000001e-11, nan, nan, 9.074403000000001e-11, nan, 8.756956500000001e-11, nan, 6.210824000000001e-11, 3.2311954000000006e-11, 1.6504913e-11]",,,,"[6.855523875422653e-12, 1.2463481779743977e-11, 8.101736391685428e-12, 4.9821526422069825e-12, 6.854176745139421e-12, nan, nan, 1.3085233001898012e-11, nan, nan, 2.803844239132339e-11, nan, nan, 3.3032772964799684e-11, nan, 3.3647756912760924e-11, nan, 3.115128100255269e-11, 1.9316308232322505e-11, 7.474577674732534e-12]","[2.1679070000000005e-12, 3.941299000000001e-12, 2.5619940000000004e-12, 1.5754950000000004e-12, 2.1674810000000005e-12, nan, nan, 4.1379140000000105e-12, nan, nan, 8.866534000000002e-12, nan, nan, 1.0445880000000003e-11, nan, 1.0640355000000001e-11, nan, 9.850900000000001e-12, 6.108353000000001e-12, 2.3636690000000004e-12]","[0.5228245924775637, 1.1273260006830785, 0.5793526079356747, 0.3564680579995529, 0.47096492584585425, nan, nan, 0.1665413821161033, nan, nan, 0.3089097154299079, nan, nan, 0.3640214454306215, nan, 0.38424031126294755, nan, 0.5015643818364952, 0.5978068745803025, 0.4528698621272669]",mole / liter
159,PKDB00081,Knop2007,"[171495, 171496, 171497, 171498, 171499, 171500, 171501, 171502, 171503, 171504, 171505, 171506, 171507, 171508, 171509, 171510, 171511, 171512, 171513, 171514]",3928,ins_control_isoglc,[2594],1333,,TRUE,plasma,plasma,,,ins_control_isoglc,"[-15.0, -10.0, 0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 60.0, 70.0, 90.0, 120.0, 150.0, 180.0, 240.0]",min,concentration,concentration,,,insulin,insulin,,"[3.400895e-11, 3.482542000000001e-11, 3.645226300000001e-11, nan, 5.385035000000001e-11, nan, 7.539414000000001e-11, nan, 8.864165000000001e-11, nan, 9.690869000000002e-11, nan, 9.189777e-11, 9.518680000000002e-11, 8.187714400000001e-11, 6.355901000000001e-11, 3.027147500000001e-11, 2.4367313000000005e-11, 2.3444826000000003e-11, 2.2429724000000006e-11]",,,,"[3.950826379785628e-11, 4.491490478177596e-11, 3.729249695098587e-11, nan, 1.0604151059339454e-10, nan, 1.1702112836615877e-10, nan, 8.08090330646024e-11, nan, 5.7601045693850054e-11, nan, 1.8492853659436785e-10, 1.9211930301137797e-10, 1.593639376920389e-10, 1.0143691176786804e-10, 1.3160979038691996e-11, 2.2498116119320084e-11, 2.5415276151215836e-11, 2.8625310528608077e-11]","[1.2493610000000003e-11, 1.4203340000000004e-11, 1.1792923000000003e-11, nan, 3.3533270000000007e-11, nan, 3.700533000000001e-11, nan, 2.5554060000000006e-11, nan, 1.8215050000000005e-11, nan, 5.8479538e-11, 6.075345800000002e-11, 5.039530200000001e-11, 3.207716800000001e-11, 4.161867000000001e-12, 7.1145290000000014e-12, 8.037016000000002e-12, 9.052118000000002e-12]","[1.1617019578039391, 1.289716097660156, 1.023050254821926, nan, 1.9691888835150473, nan, 1.5521249843311264, nan, 0.9116372841051852, nan, 0.5943847315844435, nan, 2.0123288801716064, 2.0183397594138883, 1.9463788049573256, 1.5959485801913533, 0.43476503998209515, 0.9232908084416234, 1.0840462689386492, 1.2762221473883526]",mole / liter
160,PKDB00086,Yang2015,"[177793, 177794, 177795, 177796, 177797]",4111,glc_PREDM_1990,[2642],1447,,TRUE,plasma,plasma,,,glc_PREDM_1990,"[0.0, 30.0, 60.0, 90.0, 120.0]",min,concentration,concentration,,,glucose,D-glucose,,"[1.04632409264616, 1.7651727169164002, 1.9968016540147198, 1.85303185709832, 1.501594755903]",,,,"[0.8697621834373046, 0.47441434208497274, 0.3162774170247994, 0.4744161255371965, 0.47441790898942005]","[0.087859248275448, 0.04792308548291982, 0.03194884375920018, 0.047923265638800006, 0.04792344579468018]","[0.8312550475997075, 0.26876369521149884, 0.1583920047286118, 0.2560215701202726, 0.31594270499707744]",gram / liter
161,PKDB00081,Knop2007,"[171535, 171536, 171537, 171538, 171539, 171540, 171541, 171542, 171543, 171544, 171545, 171546, 171547, 171548, 171549, 171550, 171551, 171552, 171553, 171554]",3943,ins_t2dm_isoglc,[2594],1332,,TRUE,plasma,plasma,,,ins_t2dm_isoglc,"[-15.0, -10.0, 0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 60.0, 70.0, 90.0, 120.0, 150.0, 180.0, 240.0]",min,concentration,concentration,,,insulin,insulin,,"[4.1223648000000006e-11, 4.120909000000001e-11, 4.200351000000001e-11, nan, 4.197319000000001e-11, nan, 4.689009500000001e-11, nan, 5.510474400000001e-11, nan, 6.497251000000001e-11, nan, 7.401433000000002e-11, 8.717621000000001e-11, 7.642427000000002e-11, 8.131085000000001e-11, 7.709376500000002e-11, 5.803257000000001e-11, 4.8867043000000014e-11, 3.3836163000000004e-11]",,,,"[4.694500482038489e-11, 4.693734894616963e-11, 3.910550030366893e-11, nan, 4.954539633678392e-11, nan, 4.17327300705698e-11, nan, 4.956075235710169e-11, nan, 5.21611375489454e-11, nan, 6.258950707998907e-11, 5.99814343911535e-11, 5.998527655851061e-11, 7.824170632341809e-11, 6.521291681547646e-11, 4.432928258188938e-11, 4.173273323284746e-11, 2.086445501957816e-11]","[1.4845314000000002e-11, 1.4842893000000003e-11, 1.2366245000000002e-11, nan, 1.5667630000000004e-11, nan, 1.3197048000000002e-11, nan, 1.5672486000000003e-11, nan, 1.6494800000000004e-11, nan, 1.9792540000000003e-11, 1.8967795000000004e-11, 1.8969010000000004e-11, 2.4742200000000003e-11, 2.0622135000000004e-11, 1.4018150000000004e-11, 1.3197049000000003e-11, 6.5979200000000014e-12]","[1.1387882222452725, 1.139004742549996, 0.9310055351009695, nan, 1.180405786093073, nan, 0.8900116340256891, nan, 0.8993917539495635, nan, 0.802818569714259, nan, 0.8456403926103101, 0.6880482002045453, 0.784898260179791, 0.9622541926866842, 0.8458909331445473, 0.7638690235826084, 0.8540056993595346, 0.6166318273019951]",mole / liter
162,PKDB00086,Yang2015,"[177798, 177799, 177800, 177801, 177802]",4112,glc_PREDM_2000,[2642],1448,,TRUE,plasma,plasma,,,glc_PREDM_2000,"[0.0, 30.0, 60.0, 90.0, 120.0]",min,concentration,concentration,,,glucose,D-glucose,,"[1.054311249539196, 1.7571855059766002, 1.86900627897792, 1.6373773418796, 1.35782513914248]",,,,"[0.9372644058528912, 0.9372620569075963, 1.2496858744705241, 0.8331239163136811, 1.0414041907085136]","[0.0718848984582, 0.07188471830231981, 0.09584653127760019, 0.0638976875184, 0.079872055351236]","[0.8889826474511563, 0.5333882243620541, 0.6686365308274534, 0.5088160773968634, 0.7669648769105876]",gram / liter
163,PKDB00081,Knop2007,"[171595, 171596, 171597, 171598, 171599, 171600, 171601, 171602, 171603, 171604, 171605, 171606, 171607, 171608, 171609, 171610, 171611, 171612, 171613, 171614]",3953,cpep_t2dm_ogtt,[2596],1332,,TRUE,plasma,plasma,,,cpep_t2dm_ogtt,"[-15.0, -10.0, 0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 60.0, 70.0, 90.0, 120.0, 150.0, 180.0, 240.0]",min,concentration,concentration,,,cpeptide,C-peptide,,"[7.837300000000001e-10, 7.693210400000002e-10, 7.619541600000002e-10, nan, 8.044579000000002e-10, nan, 9.609544700000001e-10, nan, 1.2314545000000003e-09, nan, 1.3523217000000003e-09, nan, 1.4375911000000003e-09, 1.6083499000000003e-09, 1.6579585000000003e-09, 1.8640951000000003e-09, 1.6566486000000002e-09, 1.4848523000000002e-09, 1.2417765000000002e-09, 1.0548901000000003e-09]",,,,"[4.056444556268655e-10, 3.831106026077079e-10, 4.505799784589857e-10, nan, 4.731469405252454e-10, nan, 4.732792185997703e-10, nan, 4.958131981100343e-10, nan, 6.535842902200911e-10, nan, 6.985860311464152e-10, 7.887549001206903e-10, 8.111893627529889e-10, 7.886891247453589e-10, 8.562903991978424e-10, 7.660554386204697e-10, 6.310173281538314e-10, 5.40881663094988e-10]","[1.2827604e-10, 1.2115021000000002e-10, 1.424859e-10, nan, 1.4962220000000003e-10, nan, 1.4966403000000002e-10, nan, 1.5678990000000003e-10, nan, 2.0668150000000004e-10, nan, 2.2091230000000003e-10, 2.494262e-10, 2.5652060000000005e-10, 2.4940540000000005e-10, 2.7078280000000003e-10, 2.4224800000000005e-10, 1.9954520000000002e-10, 1.7104180000000002e-10]","[0.5175818912468139, 0.4979853438139529, 0.5913478816875094, nan, 0.5881562484814249, nan, 0.49250951358785, nan, 0.4026240499425957, nan, 0.48330533350170374, nan, 0.4859420951802046, 0.4904125029763052, 0.48927000449829644, 0.4230948972213696, 0.5168811292858619, 0.5159135616522058, 0.5081569253032501, 0.512737453024716]",mole / liter
164,PKDB00086,Yang2015,"[177792, 177788, 177789, 177790, 177791]",4113,glc_NGT_2000,[2642],1446,,TRUE,plasma,plasma,,,glc_NGT_2000,"[120.0, 0.0, 30.0, 60.0, 90.0]",min,concentration,concentration,,,glucose,D-glucose,,"[1.07838589414212, 0.9177753057192, 1.4990329392894, 1.3996072511438402, 1.238996554627392]",,,,"[0.7936754273936776, 0.5772177046595309, 0.5772180445769637, 0.5772188943705518, 0.7936759372698295]","[0.084129427045044, 0.061184954324124, 0.06118499035529982, 0.06118508043324, 0.08412948109180801]","[0.7359846152522832, 0.6289313964567869, 0.38506028083051164, 0.4124149070382531, 0.640579616065611]",gram / liter
165,PKDB00083,Mitrakou1992,"[182287, 182288, 182289, 182290, 182291, 182292, 182293, 182294, 182295, 182296, 182297, 182298, 182299]",4182,raend_obese normal,[2658],1470,,TRUE,plasma,plasma,,,raend_obese normal,"[-60.0, -30.0, 0.0, 30.0, 60.0, 90.0, 120.0, 150.0, 180.0, 210.0, 240.0, 270.0, 300.0]",min,ra,Rate of appearance (Ra),,,glucose,D-glucose,,"[1.86331389363756e-06, 1.8145590284566801e-06, 1.8488041390623601e-06, 1.1704151565251642e-06, 9.0542435905404e-07, 8.756732368749601e-07, 7.380480706044841e-07, 7.14515370919776e-07, 6.086096198953201e-07, 7.19079079671936e-07, 9.6264483911406e-07, 1.16198452791792e-06, 1.6597937777162402e-06]",,,,"[3.1960321604695045e-07, 2.5176529174390663e-07, 1.8484920400699815e-07, 3.867039094209148e-07, 4.3716759769058555e-07, 3.868882290693763e-07, 4.0389406412965483e-07, 4.5362023548165164e-07, 3.5269281127754474e-07, 3.2070946759107906e-07, 3.038882381678554e-07, 3.878100656355117e-07, 3.3642458846447127e-07]","[1.207986611252398e-07, 9.515833581600001e-08, 6.986643197868018e-08, 1.46160339334884e-07, 1.6523382067783202e-07, 1.4623000561368e-07, 1.5265760710032e-07, 1.71452333250144e-07, 1.3330535254866003e-07, 1.2121678490713203e-07, 1.1485895779281601e-07, 1.465784270856e-07, 1.2715654228632002e-07]","[0.17152408788356174, 0.1387473693584045, 0.09998311887204359, 0.33039892491566564, 0.4828317167734752, 0.44181803528685576, 0.5472462841056588, 0.6348642085861901, 0.5795058108647828, 0.44600027543200904, 0.3156805353545856, 0.3337480459661557, 0.20269059504932468]",1 / minute
166,PKDB00086,Yang2015,"[177833, 177834, 177835, 177836, 177837]",4114,ins_DM_1990,[2642],1449,,TRUE,plasma,plasma,,,ins_DM_1990,"[0.0, 30.0, 60.0, 90.0, 120.0]",min,concentration,concentration,,,insulin,insulin,,"[5.679582000000001e-11, 1.4412897000000004e-10, 2.0924625000000005e-10, 2.3979384000000005e-10, 2.3453516000000005e-10]",,,,"[1.1605335825239605e-10, 2.0887284882625891e-10, 1.8556183641162555e-10, 3.0138377924401444e-10, 2.3183646568061576e-10]","[6.176897000000001e-12, 1.1117180000000002e-11, 9.876460000000012e-12, 1.6041040000000003e-11, 1.2339410000000003e-11]","[2.0433432997779772, 1.4492079477585864, 0.8868108098072272, 1.2568453770289278, 0.9884934339082281]",mole / liter
167,PKDB00083,Mitrakou1992,"[182248, 182249, 182250, 182251, 182252, 182253, 182254, 182255, 182256, 182257, 182258, 182259, 182260]",4183,raoral_obese igt,[2658],1471,,TRUE,plasma,plasma,,,raoral_obese igt,"[-60.0, -30.0, 0.0, 30.0, 60.0, 90.0, 120.0, 150.0, 180.0, 210.0, 240.0, 270.0, 300.0]",min,ra,Rate of appearance (Ra),,,glucose,D-glucose,,"[nan, nan, 0.0, 3.6349727627016004e-06, 3.7343164799217605e-06, 3.0326323872744e-06, 2.3501945274433202e-06, 1.94541813438876e-06, 1.39320883490976e-06, 7.466080691491561e-07, 4.91510585874996e-07, 0.0, 0.0]",,,,"[nan, nan, 1.2925808821003055e-06, 1.2839372105174361e-06, 1.5759496770138457e-06, 1.480593453603927e-06, 1.2313963394289643e-06, 8.39164651815296e-07, 7.877043409623096e-07, 7.893254196393659e-07, 7.87704531621372e-07, 5.285129740720349e-07, 4.90964626010905e-07]","[nan, nan, 4.88549651924844e-07, 4.8528265115016e-07, 5.956529891616e-07, 5.5961172443232e-07, 4.6542406849775995e-07, 3.1717442539134e-07, 2.977242561189e-07, 2.9833696626678003e-07, 2.97724328181252e-07, 1.9975912772367604e-07, 1.85567186136384e-07]","[nan, nan, nan, 0.3532178352729066, 0.4220182422907188, 0.4882205505081415, 0.5239550705483728, 0.43135438956877875, 0.56538856288069, 1.057215227447101, 1.6026196673243287, nan, nan]",1 / minute
168,PKDB00086,Yang2015,"[177872, 177868, 177869, 177870, 177871]",4118,ins_glc_DM_2000,[2642],1450,,TRUE,plasma,plasma,,,ins_glc_DM_2000,"[120.0, 0.0, 30.0, 60.0, 90.0]",min,metabolic-ratio,metabolic ratio,,,insulin-over-glucose,Insulin/Glucose,,"[2.7260646999999996e-05, 9.135661999999999e-06, 1.5668563e-05, 2.1922227999999998e-05, 2.4941377999999998e-05]",,,,"[2.4172259315853057e-05, 1.0982950986785155e-05, 1.7616219809222553e-05, 3.518329084429965e-05, 2.63857228821683e-05]","[1.5443089999999998e-06, 7.01675e-07, 1.125459e-06, 2.2477779999999997e-06, 1.6857219999999998e-06]","[0.8867089367267424, 1.202206363018373, 1.1243034737277793, 1.6049140098488006, 1.0579095863174963]",dimensionless
169,PKDB00083,Mitrakou1992,"[182313, 182314, 182315, 182316, 182317, 182318, 182319, 182320, 182321, 182322, 182323, 182324, 182325]",4184,ratot_nonobese normal,[2658],1468,,TRUE,plasma,plasma,,,ratot_nonobese normal,"[-60.0, -30.0, 0.0, 30.0, 60.0, 90.0, 120.0, 150.0, 180.0, 210.0, 240.0, 270.0, 300.0]",min,ra,Rate of appearance (Ra),,,glucose,D-glucose,,"[1.94058293072544e-06, 1.95183798917256e-06, 1.93787536800492e-06, 5.6967757391556e-06, 5.02936972563996e-06, 4.73151548705364e-06, 3.83150012814072e-06, 2.7171945744883204e-06, 2.67679011450132e-06, 2.53372571793306e-06, 2.1068637453154797e-06, 2.0924300165216403e-06, 1.98364847321592e-06]",,,,"[5.417177416513201e-07, 4.6380527783801945e-07, 3.0995711060471943e-07, 6.437185779456001e-07, 9.528282352908e-07, 9.791760327408002e-07, 7.4628366245604e-07, 6.9613150826988e-07, 3.8617547860044005e-07, 5.4228388150422e-07, 5.6693650220136e-07, 4.6352288349612e-07, 3.3517533068712e-07]","[1.8057258055044002e-07, 1.5460175927933982e-07, 1.0331903686823982e-07, 2.1457285931520003e-07, 3.176094117636e-07, 3.2639201091360003e-07, 2.4876122081868e-07, 2.3204383608996e-07, 1.2872515953348002e-07, 1.8076129383474e-07, 1.8897883406712002e-07, 1.5450762783204e-07, 1.1172511022904e-07]","[0.27915206975916873, 0.2376248850626377, 0.15994687569811378, 0.11299700171118456, 0.1894528116382531, 0.20694765459819775, 0.1947758417062047, 0.25619494268310533, 0.14426812042840484, 0.2140262766668365, 0.26909025486907673, 0.2215237211453596, 0.16896911686359875]",1 / minute
170,PKDB00086,Yang2015,"[177853, 177854, 177855, 177856, 177857]",4121,ins_glc_PREDM_1990,[2642],1447,,TRUE,plasma,plasma,,,ins_glc_PREDM_1990,"[0.0, 30.0, 60.0, 90.0, 120.0]",min,metabolic-ratio,metabolic ratio,,,insulin-over-glucose,Insulin/Glucose,,"[9.844789499999999e-06, 2.64745e-05, 3.1130821e-05, 3.9113083000000004e-05, 4.1241684e-05]",,,,"[1.8438084525398466e-05, 1.7121077497920507e-05, 1.8438066706307577e-05, 2.6340091052084423e-05, 3.029112797371019e-05]","[1.8625278e-06, 1.7294899999999999e-06, 1.8625259999999998e-06, 2.6607509999999997e-06, 3.059866e-06]","[1.8728774775121872, 0.6467006930412476, 0.5922769176665009, 0.6734342841776093, 0.7344784459749556]",dimensionless
171,PKDB00083,Mitrakou1992,"[182053, 182054, 182055, 182056, 182057, 182058, 182059, 182060, 182061, 182062, 182063, 182064, 182065]",4188,glc_nonobese normal,[2658],1468,,TRUE,plasma,plasma,,,glc_nonobese normal,"[-60.0, -30.0, 0.0, 30.0, 60.0, 90.0, 120.0, 150.0, 180.0, 210.0, 240.0, 270.0, 300.0]",min,concentration,concentration,,,glucose,D-glucose,,"[0.977414576639688, 0.9802560672414, 0.98324701516116, 1.5290153816184, 1.6530573890512799, 1.4919272310704401, 1.28397203769528, 1.08385975040004, 0.9696048913040399, 0.820239326645724, 0.7646405557707, 0.84169115385408, 0.8797595325451201]",,,,"[0.234192519239544, 0.21051430765056053, 0.21076346323260003, 0.269536292463816, 0.23429218147235945, 0.21071319974208003, 0.234142850263428, 0.22257770751565148, 0.18743390731817944, 0.22257770751565198, 0.22282697119121997, 0.16390491884460054, 0.18773305615692]","[0.078064173079848, 0.07017143588352018, 0.07025448774420001, 0.089845430821272, 0.07809739382411982, 0.07023773324736, 0.078047616754476, 0.07419256917188383, 0.062477969106059815, 0.07419256917188399, 0.07427565706374, 0.05463497294820018, 0.06257768538564]","[0.23960407879805565, 0.21475440416602778, 0.21435454161847078, 0.17628095551172474, 0.14173263615900478, 0.14123557460030794, 0.18235821605874894, 0.20535655783278292, 0.193309572795261, 0.2713570299364435, 0.2914140108179682, 0.1947328519422885, 0.2133913293486158]",gram / liter
172,PKDB00086,Yang2015,"[177823, 177824, 177825, 177826, 177827]",4122,ins_PREDM_1990,[2642],1447,,TRUE,plasma,plasma,,,ins_PREDM_1990,"[0.0, 30.0, 60.0, 90.0, 120.0]",min,concentration,concentration,,,insulin,insulin,,"[5.159747300000001e-11, 2.478547000000001e-10, 3.372232700000001e-10, 3.872876600000001e-10, 3.3906503000000004e-10]",,,,"[1.702832220021294e-10, 1.581013688093971e-10, 1.9456596041850743e-10, 2.7973775002988646e-10, 2.9183899163534987e-10]","[1.7201203000000002e-11, 1.597065e-11, 1.965413e-11, 2.8257780000000006e-11, 2.9480190000000004e-11]","[3.300224063339873, 0.637879244611448, 0.576964811528301, 0.7222996726254753, 0.8607168708473116]",mole / liter
173,PKDB00083,Mitrakou1992,"[182144, 182145, 182146, 182147, 182148, 182149, 182150, 182151, 182152, 182153, 182154, 182155, 182156]",4195,ins_obese igt,[2658],1471,,TRUE,plasma,plasma,,,ins_obese igt,"[-60.0, -30.0, 0.0, 30.0, 60.0, 90.0, 120.0, 150.0, 180.0, 210.0, 240.0, 270.0, 300.0]",min,concentration,concentration,,,insulin,insulin,,"[1.2922348e-10, 1.2251865000000002e-10, 1.2473526000000003e-10, 2.9225880000000006e-10, 4.7619962e-10, 5.484256600000001e-10, 5.580747000000001e-10, 5.901352500000001e-10, 5.104556000000001e-10, 4.471425200000001e-10, 2.930371400000001e-10, 1.9543846000000001e-10, 1.3960857e-10]",,,,"[5.0979553307195636e-11, 5.90937550880734e-11, 4.730859982060663e-11, 1.0249640579064226e-10, 2.0098595350824275e-10, 1.7748265985401844e-10, 1.971807016851041e-10, 2.0876446236277295e-10, 1.4579817399572024e-10, 1.575833557207001e-10, 8.653651952944665e-11, 8.26976931221706e-11, 5.902660591979859e-11]","[1.9268460000000005e-11, 2.2335340000000002e-11, 1.7880970000000005e-11, 3.8740000000000007e-11, 7.596555000000001e-11, 6.708214000000001e-11, 7.45273e-11, 7.890555000000012e-11, 5.510653000000001e-11, 5.956091000000001e-11, 3.2707730000000004e-11, 3.1256790000000005e-11, 2.2309960000000004e-11]","[0.3945068907538756, 0.48232456926413564, 0.37927206645984957, 0.35070425865925076, 0.42206239792514477, 0.32362209283573345, 0.3533231334176304, 0.3537569775111263, 0.2856236154441644, 0.3524231059947063, 0.2953090503457911, 0.42313929981934256, 0.4228007343660822]",mole / liter
174,PKDB00083,Mitrakou1992,"[182118, 182119, 182120, 182121, 182122, 182123, 182124, 182125, 182126, 182127, 182128, 182129, 182130]",4197,ins_nonobese igt,[2658],1469,,TRUE,plasma,plasma,,,ins_nonobese igt,"[-60.0, -30.0, 0.0, 30.0, 60.0, 90.0, 120.0, 150.0, 180.0, 210.0, 240.0, 270.0, 300.0]",min,concentration,concentration,,,insulin,insulin,,"[7.031825000000002e-11, 7.112199000000001e-11, 6.884614600000001e-11, 2.3639503e-10, 3.3393448000000006e-10, 3.8236157000000003e-10, 3.8017456000000004e-10, 3.0045685000000004e-10, 2.3715648e-10, 1.7982487000000004e-10, 1.3738350000000003e-10, 1.2322085600000002e-10, 8.823728000000002e-11]",,,,"[5.903408241956508e-11, 6.738546605371816e-11, 5.053912216770562e-11, 1.0536156911829287e-10, 1.4308639471710512e-10, 1.516172703365946e-10, 1.557929904379424e-10, 1.052898402064093e-10, 7.584461276132408e-11, 9.272681544642417e-11, 7.998432698537385e-11, 5.903409373327357e-11, 5.881872597828688e-11]","[2.0871700000000004e-11, 2.3824360000000005e-11, 1.7868278000000003e-11, 3.725094000000001e-11, 5.0588680000000004e-11, 5.3604800000000006e-11, 5.508114000000001e-11, 3.7225580000000005e-11, 2.6815120000000005e-11, 3.278388000000001e-11, 2.8278730000000005e-11, 2.0871704000000006e-11, 2.079556e-11]","[0.8395271841885295, 0.9474631693196177, 0.7340878916839529, 0.44570128702914297, 0.42848643457574404, 0.39652852753113915, 0.4097933076793523, 0.35043248375402086, 0.319808308680092, 0.5156506741610555, 0.582197476300821, 0.4790917353574752, 0.6665972248723767]",mole / liter
175,PKDB00083,Mitrakou1992,"[182182, 182170, 182171, 182172, 182173, 182174, 182175, 182176, 182177, 182178, 182179, 182180, 182181]",4205,glu_nonobese igt,[2658],1469,,TRUE,plasma,plasma,,,glu_nonobese igt,"[300.0, -60.0, -30.0, 0.0, 30.0, 60.0, 90.0, 120.0, 150.0, 180.0, 210.0, 240.0, 270.0]",min,concentration,concentration,,,glucagon,glucagon,,"[1.49826118152428e-07, 1.5395523513365202e-07, 1.4531156904346102e-07, 1.5240837653634903e-07, 1.49181284062631e-07, 1.3512324893481802e-07, 1.2467624779275001e-07, 1.1810042790633901e-07, 1.17448276565095e-07, 1.2118536509575804e-07, 1.2467111422367203e-07, 1.3537018614535905e-07, 1.4969348121568e-07]",,,,"[3.284188581848352e-08, 2.263449602987416e-08, 4.088548155610308e-08, 2.4798250678079628e-08, 4.160261223097667e-08, 3.9413935321680125e-08, 4.525030528927805e-08, 4.3049246055004635e-08, 4.0866844039113236e-08, 3.431341235151431e-08, 3.7967321199044323e-08, 3.9438828030682946e-08, 3.2829454240026236e-08]","[1.1611360084602003e-08, 8.002502815732002e-09, 1.4455200630199001e-08, 8.767505608017002e-09, 1.4708744611799001e-08, 1.3934930469604002e-08, 1.5998398860405003e-08, 1.5220206905231002e-08, 1.4448611272875002e-08, 1.2131623279703001e-08, 1.3423475141666e-08, 1.3943731371273001e-08, 1.1606964857888003e-08]","[0.2192000048020419, 0.14701998285556606, 0.2813642563027773, 0.16270923712756238, 0.27887286593880356, 0.29168877770762436, 0.36294246971963634, 0.36451388719053046, 0.3479560980740576, 0.28314815344576133, 0.30453984016640195, 0.2913405761910821, 0.21931118157860993]",gram / liter
